N[e⁺],Iₘ꜀[iterations],λ[mm],ρ[mm],H[mm],Vₐ[mm],μ(Nₑ)[ɣ],σₑ[ɣ],ηₑ,σₚ,Y[mm³]
8000,100,2,9,1,254.4690049407732,3615.09,2736.444595072226,0.45188625,0.3420555743840283,114.9910443839175
8000,100,2,9,3,763.4070148223198,4195.91,1925.014374465811,0.5244887499999999,0.2406267968082264,400.3983909453899
8000,100,2,9,5,1272.345024703866,3677.27,1683.421948621319,0.45965875,0.2104277435776649,584.8445236240982
8000,100,2,9,7,1781.283034585413,3303.35,1839.35351890277,0.41291875,0.2299191898628462,735.5251640372154
8000,100,2,9,9,2290.221044466959,2627.24,1523.7858715712,0.3284049999999999,0.1904732339464,752.1200421081716
8000,100,2,9,11,2799.159054348505,2699.57,1679.062239793391,0.33744625,0.2098827799741739,944.5657260434493
8000,100,2,9,13,3308.097064230052,2247.15,1738.595803371215,0.28089375,0.2173244754214019,929.2237897355702
8000,100,2,9,14,3562.566069170825,1970.43,1483.085926404805,0.24630375,0.1853857408006007,877.4733824595337
8000,100,2,9,15,3817.035074111599,2098.43,1462.306255577128,0.26230375,0.1827882819471409,1001.222613821
8000,100,2,9,17,4325.973083993145,1994.94,1500.623702465078,0.2493675,0.1875779628081348,1078.757093022661
8000,100,2,9,19,4834.911093874692,1693.67,1510.794586004332,0.21170875,0.1888493232505415,1023.592984045344
8000,100,2,9,21,5343.849103756238,1589.1,1603.437329614101,0.1986375,0.2004296662017627,1061.48882634738
8000,100,2,9,23,5852.787113637784,1620.17,1513.325979787567,0.20252125,0.1891657474734459,1185.313762237816
8000,100,2,9,25,6361.725123519331,1377.64,1375.256539849929,0.172205,0.1719070674812411,1095.520874895647
8000,100,2,9,27,6870.663133400877,1364.1,1430.164637375712,0.1705125,0.178770579671964,1171.533947534017
