N[points],Iₘ꜀[iterations],λ[mm],ρ[mm],H[mm],Vₐ[mm³],μ(Nₑ)[nᵒ e⁻],±σ[e⁻],ηₑ,±σ,Y = ηₑ⋅Vₐ [mm³],±σ
10000,30,2,9,1,254.4690049407732,2380.38,44.63827505627879,0.238038,0.004463827505627879,60.57329299809178,0.004463827505627879
10000,30,2,9,3,763.4070148223198,1222.5,30.82125889706649,0.12225,0.003082125889706649,93.32650756202858,0.003082125889706649
10000,30,2,9,5,1272.345024703866,792.8200000000001,23.11163343426855,0.07928200000000001,0.002311163343426855,100.8740582485719,0.002311163343426855
10000,30,2,9,7,1781.283034585413,576.96,22.21257301619964,0.057696,0.002221257301619964,102.77290596344,0.002221257301619964
10000,30,2,9,9,2290.221044466959,449.52,22.35105366643819,0.044952,0.002235105366643819,102.9500163908787,0.002235105366643819
10000,30,2,9,11,2799.159054348505,371.63,19.2871226469891,0.037163,0.001928712264698911,104.0251479367535,0.001928712264698911
10000,30,2,9,13,3308.097064230052,313.82,16.36299483590946,0.031382,0.001636299483590946,103.8147020696675,0.001636299483590946
10000,30,2,9,14,3562.566069170825,289.66,16.59049125252173,0.028966,0.001659049125252173,103.1932887596021,0.001659049125252173
10000,30,2,9,15,3817.035074111599,274.95,15.01024650030772,0.027495,0.001501024650030772,104.9493793626984,0.001501024650030772
10000,30,2,9,17,4325.973083993145,239.9,12.55587511884377,0.02399,0.001255587511884377,103.7800942849956,0.001255587511884377
10000,30,2,9,19,4834.911093874692,214.18,13.2539654443491,0.021418,0.00132539654443491,103.5541258086081,0.00132539654443491
10000,30,2,9,21,5343.849103756238,193.95,13.51323425387128,0.019395,0.001351323425387128,103.6439533673522,0.001351323425387128
10000,30,2,9,23,5852.787113637784,175.64,12.77381697066308,0.017564,0.001277381697066308,102.798352863934,0.001277381697066308
10000,30,2,9,25,6361.725123519331,164.66,13.9500681001922,0.016466,0.00139500681001922,104.7521658838693,0.00139500681001922
10000,30,2,9,27,6870.663133400877,152.43,13.0209485061573,0.015243,0.00130209485061573,104.7295181424296,0.00130209485061573
10000,30,2,9,29,7379.601143282423,139.48,12.16591961176795,0.013948,0.001216591961176795,102.9306767465032,0.001216591961176795
10000,30,2,9,31,7888.53915316397,128.91,11.90386071827119,0.012891,0.001190386071827119,101.6911582234367,0.001190386071827119
10000,30,2,9,33,8397.477163045516,125.5,11.91259837315101,0.01255,0.001191259837315101,105.3883383962212,0.001191259837315101

